id,ht,rt_ht,rt_rt_cnt
849673360430772224,,,6
850040298826850304,,,1
,,,
850031441337475073,,,14
,,,
850038933065007109,,,1
,,,
,Legendary,,
,,,
,mac,,
849680846592278529,,,993
,,,
,Claymore,,
849681921042927617,,,50348
,,,
843099400729759744,,,229
763042601679413248,,,2
,,,
850038304082845696,,,1
,,,
,,,
850037892009340928,,,3
,,,
,,,
850023200109080577,,,19
,,,
,,,
849744941844762626,,,2464
849715614910263296,,,18430
,,,
,,,
,,,
,,,
850025492673691648,,,1
850038362161516544,,,1
,,,
850018572273422337,,,43
850039498599694336,,,1
,entrepreneur,,
850032419956809728,,,95
842202092009750528,,,2711
,,,
849471920206745604,,,37688
,,,
850038325775785984,,,67
,,,
850034906226929665,,,33
850040372017242112,,,1
,,,
,,,
849876893427941376,,,184
850037042423771137,,,31
,,,
,,,
849828224473452544,,,554
850036137464823808,,,6
847010756864413696,,,2519
,,,
850036218888933376,Trump,Trump,1
850040232938536960,,,1
,,,
,,,
,drawing,,
849702141287571456,,,8488
850035651890352128,,,12
,,,
849888116827713536,,,145
,,,
849939420589342720,Israel,Israel,2
,,,
,,,
,,,
849975955774816256,,,5
,,,
,,,
842845863093420035,,,7
,,,
,,,
850038471490248704,,,7
848531077270470657,,,140
,,,
849985228701564933,,,1
849996537681793024,,,237
850031030727782400,,,12
849989824719224833,Platform,Platform,4
,,,
,,,
,,,
,,,
849814562979401730,,,1892
,,,
,,,
,,,
,,,
,,,
,,,
,,,
850040272306282496,,,1
,,,
849660388530638854,,,2042
,,,
849597162786873344,,,486
,,,
819972185590796288,,,16736
,,,
849922503149584384,,,573
849736647784747008,,,486
,Poetry,,
,,,
,,,
849996373474910208,,,3386
850026938210992128,,,8
849980356212273152,,,652
,,,
847010756864413696,,,2523
,,,
849716048572055552,travel,travel,4
850035213530877953,,,3
850009244451704834,,,546
849784977248198657,,,644
,,,
850021265473585152,,,797
849734655427452929,,,2802
849617333052211203,,,122338
,,,
850032178528387072,,,64
849753032292270080,,,5643
,,,
850024334676590593,,principles,1454
,,,
,,,
850040235882930177,,,1
,,,
,,,
850035619531288576,,,2
850038794602590210,,,2
,,,
,,,
850038205424574464,,,7
,,,
,,,
850009921571696640,,,29
850034136534335488,,,327
849954857645735937,,,154
,,,
850001294693552129,,,129
,,,
849282919289978880,,,324
850040354694889472,,,18
848332324794183682,,,11
,,,
,,,
849977208886243328,,,112
,,,
849995865779347456,,,9
,,,
849732780766441473,,,23214
849982918160130048,,,10700
850013654607155202,,,3
847644733161717761,,,445
849739494924447744,,,1
,,,
,,,
,,,
,,,
850030858731782144,,,142
,,,
,,,
841355018229960704,,,21323
849982115424948224,,,48
,,,
850017711887462400,,,138
,,,
,,,
,,,
849859030206095361,,,14
,,,
,,,
,,,
849839473181327360,Empire,Empire,12
793623987842461697,,,17842
,,,
,,,
850038131441016832,,,1
,,,
,,,
850040354694889472,,,24
,cock,,
,,,
850039746860433408,quote,quote,2
,,,
850040237736681472,,,1
,,,
,,,
849851095677636608,,,8
,,,
,,,
849732780766441473,,,23216
,,,
,,,
849414786702090240,,,1369
849826754202144768,,,11477
,,,
850007880375955457,,,249
,,,
850040354694889472,,,22
850040385724456962,,,1
,,,
847222352819609600,,,1408
849585173410619392,,,190
850025981268066306,,,1
,,,
,,,
,,,
,Carlton,,
,,,
,,,
,,,
,,,
,,,
,,,
850039925160464384,,,121
850014680831504384,,,2
849706096369553409,,,183
,,,
850039924791410688,,,8
,,,
,,,
,,,
850001669270142976,,,260
,,,
850030541156081664,,,83
,,,
,,,
849976105520050176,,,152
850034682297290752,,,105
,,,
847644733161717761,,,448
849827761057406977,,,5863
849731720639389696,,,84
850028285841027072,,,872
849855362278621186,,,1686
,,,
850023114100682752,,,14
850020335403491329,,,8065
849937988310228992,,,18325
,games,,
850037678594813952,,,11
,,,
850040354694889472,,,28
849508032266547200,,,14
,,,
,,,
850036138945519616,,,2
850035444901457921,,,1
849805872805097472,,,2
,,,
850024334676590593,,principles,1456
,,,
,viral,,
849630731181715457,,,26314
,,,
850040354694889472,,,28
850025104180490241,,,157
,,,
849487931496689666,,,12008
849960494601515008,,,850
849986081877630977,,,376
,Politics,,
,flower,,
850029354331623424,,,113
849967041654030337,,,68
850031218783657986,,,281
850033300412317696,,,1
850034575308976131,,,202
,,,
848063464484610050,,,3600
,,,
,,,
849978319504195584,,,251
,,,
849927309251444737,,,10
,,,
,,,
850039454249168900,,,5
850034018879889408,,,1
793623987842461697,,,17850
846470327991484416,INSURANCE,INSURANCE,2
,,,
843833467565740032,,,2604
,,,
,,,
,,,
,,,
,,,
,,,
849998496900022272,,,63
,,,
,,,
,,,
849941830368145410,,,1966
850037139404468224,,RESISTANCE,22
850040354694889472,,,34
,,,
850038122687672320,,,1
850036806062157825,,,1
,,,
,,,
850033722942521345,,,132
849993044912881664,,,525
850039918948532224,,,1
,,,
850040049244700672,,,20
,,,
,,,
,,,
,,,
,,,
832753874326925312,,,1588
850021950613336064,,,52
849332138969321475,,,395
849667289917997056,,,10109
,,,
,,,
,,,
845164443176599556,,,8
850037763848101889,,,46
,,,
,,,
849995010493886464,,,539
850032643580108800,,,14
849802101890928640,,,2173
850031650608214018,,,2
850037686673051649,,,2
,,,
850035960406519808,,,75
,,,
,,,
,,,
850037992907526144,,,94
850039559727398912,,,2
,,,
850039653352779776,,,2
850039963928469505,,,1
,,,
849883027601674240,,,167
850040175719796737,,,1
849967022716968960,,,11
,,,
849738747855990784,,,558
,,,
850039350016565248,,,5
,,,
849847326944505857,,,5904
,Virginia,,
708093856756006915,,,4487
849835804243394560,,,279
,,,
829059254220898305,,,5857
,Luxury,,
850031146041827333,,,2
,,,
,,,
850040049244700672,,,23
850034039960485888,Syria,Syria,6
850035116873326593,Ferry,Ferry,1
850040417076867073,,,31
850040354694889472,,,39
850040173081526273,,,6
849630731181715457,,,26320
850040354694889472,,,45
850027015960907776,,,21
850040314890944516,,,1
,,,
849976452330246144,,,57
850027931862614017,,,17
,,,
,,,
849649855844806657,,,881
,,,
850039683241451523,,,1
,,,
849950114466504704,,,1263
,,,
850040173081526273,,,6
850040354694889472,,,39
,,,
849966565688832000,,,219
849365151849566208,,,24969
849836224042995712,,,316
,,,
850040300185800704,,,1
,,,
850020298720260096,,,67
850040354694889472,,,52
850040173081526273,,,6
850038834351939584,,,4
,,,
,,,
850040173081526273,,,9
850034881946152960,,,654
849440760730726404,,,3285
,,,
849962532777406466,,,7
850027452038619142,,,7
850040173081526273,,,9
848725434812440576,,,440
,,,
,,,
850009456146599937,,,1
849710227918336001,,,139
850036087669932032,,,74
849907806778077184,,,13
,,,
850031794539737088,,,6
,,,
849958295687352320,,,311
850040413385895936,,,1
850040173081526273,,,10
826888856108675072,,,58001
,,,
,,,
,,,
,,,
850036581796913152,,,3
850040173081526273,,,13
,,,
,,,
,,,
,,,
850007403298992128,,,52
,,,
850033123010240515,,,1
,,,
,,,
,,,
849768617252147200,,,1278
850031341080944640,,,7
850035161018368002,,,1
362396856615059456,,,6428
,,,
,,,
849879622338707456,Mercurial,Mercurial,6796
849802176138547200,,,7
849723622742790146,,,21
,,,
849990758912335872,,,15
850036748356907009,,,1
849937988310228992,,,18329
850040086225985537,,,1
846065665815560193,,,2
849617333052211203,,,122344
,,,
850040439793209346,,,1
,,,
,,,
850016014062551041,,,622
844376478187864064,,,1695
850022798609313792,,,97
,,,
849400269448384512,,,5
850040179498733568,BREAKING,BREAKING,1
849829751376236549,,,2181
850029556488708096,,,21
849650593043972097,,,289
850038394973437952,,,18
850033339281092610,,,1
,,,
850015879672844288,,,60
,nature,,
849931632673001472,,,1149
849343167170215938,,,213
,STD,,
850037636580421633,,,37
850040112226455552,,,1
,,,
,,,
,,,
850028100167630850,,,1
,,,
,,,
,,,
849986375541821441,,,521
,,,
850040384679854080,Mercer,Mercer,1
849395928121430017,,,1
,,,
,,,
850039779026776064,,,1
849773182840078336,,,9149
,,,
849643487880458240,,,13
849905350346063872,,,98
,,,
,,,
,,,
850026859920109569,,,161
,,,
,,,
849814084811976704,,,6757
849996269187674112,,,147
850034993128763394,,,3
850021726545002496,,,203
,,,
,,,
850040505664643072,,,1
,,,
,,,
849706206994321409,,,17
850037675042254850,,,6
,,,
850008545915355137,,,1
,,,
,,,
,,,
,,,
850019361242968065,,,47
,,,
,,,
,,,
850022697962754050,,,5
849638539499372544,,,4354
850040167037636608,,,2
,,,
850039010550571010,,,1
850024032829403136,,,2
850039834001494020,,,2
,,,
,,,
,,,
,,,
,,,
,,,
850035554221797376,,,75
,,,
,,,
,,,
849877766811955200,,,9
849826553303379968,,,786
847470274702229505,,,20
830118963409481729,,,44
850028912906088448,,,186
,,,
,,,
850030486156136452,,,22
,photography,,
850039013310418945,,,2
,,,
,,,
,,,
849876359933505538,,,76
,,,
850040354694889472,,,73
,fondle,,
,,,
850036468567465985,,,7
849694998480158721,,,92
850014547796688897,Ontario,Ontario,4
,,,
849706206994321409,,,17
850003020679176192,,,33
850040273660936192,,,2
849291352093450240,,,12763
850038735676866560,,,6
,,,
850038661768814592,,,1
,,,
850011822698704897,,,493
849835642519420928,,,14229
,,,
,,,
850040354694889472,,,67
849946201206161408,,,887
,,,
847444135397085186,,,54
850021849660567552,,,2
850033856979886083,,,101
,,,
,,,
849964970787971072,,,2012
849463565388042241,,,4021
831272126665650178,,,14
847866085927997440,,,22748
849970354613125121,,,153
849763447705395206,,,326
848700062402318338,,,3393
849967531175575554,,,25
,,,
,,,
,,,
850038114051645441,UPDATE,UPDATE,177
849844069782102016,,,117
,,,
,,,
850023197730844672,,,219
850000705125580800,,,8
,,,
850025086451154946,,,22
850012601652199425,,,1
,,,
850037914750910464,,,1
,,,
,,,
,,,
849983662003167232,,,701
,,,
,,,
,,,
850040049244700672,,,49
850036181819699200,,,74
850040157306748929,,,1
,,,
849829751376236549,,,2182
,,,
850006509853560833,,,6
849732780766441473,,,23229
850040043519361024,,,1
850036187469369351,,,4
836014211482406912,,,19034
850028573285126144,,,317
850039717978570752,,,1
,,,
850039749947662337,,,1
,,,
850040237648695297,,,1
,,,
849966243486588928,,,6
850039454249168900,,,6
,,,
849962901305688065,,,51
,,,
850024334676590593,,principles,1460
849656699464056832,Pepsi,Pepsi,136697
,,,
,,,
,,,
849341813785841664,,,78098
,,,
850032412331528192,,,142
849388270538690560,,,10599
,,,
,French,,
849404541925810176,,,1208
850025097083662337,,,5
850011875072978944,,,474
848800435339177984,,,2
850028054143520769,,,15
,,,
850025592976232448,,,90
,,,
849964303151120384,,,815
850009421539418113,,,10
849835642519420928,,,14234
849859098598404100,,,1577
,,,
849978875584983040,,,1749
850039579428225024,,,2
849501353152045056,,,1506
850036275549753344,,,347
,,,
850035952202416129,,,46
850008451560243200,,,2419
,,,
841007939414573057,,,8145
849681349216743425,,,26023
,,,
,,,
850037900636938240,re,re,10
,Nigeria,,
,,,
,,,
,,,
,,,
849999753962299392,,,2
,,,
,,,
,,,
,,,
,,,
,,,
850031670069776389,,,19
,,,
849745980547379200,,,58
849884142884065280,,,171
849748782996762626,,,602
850036128400916481,,,3
,business,,
850031555129028608,,,36
849849040866951168,,,634
850011843061964803,,,3
,,,
,,,
849728882647412737,,,1481
850019353823240194,,,30
850026996969213952,Photo,Photo,17
850026397334724608,,,841
847950704622931969,,,8510
850010155156688897,,,7
850038935996813312,,,3
,,,
850040049244700672,,,55
850027998262820864,,,12
850028680432820224,,,2
850039054179631104,,,37
850040381953769475,,,1
,,,
,,,
,,,
,,,
849768267124178944,,,1115
850040354694889472,,,82
,,,
850036248479715332,,,4
850032178528387072,,,65
850028915557113858,,,961
,,,
850034134022074369,,,4
850040049244700672,,,52
850039289966678021,,,6
,,,
,,,
850014789174677505,,,340
850012590814056454,,,258
848800196121309184,,,156
,,,
,,,
,,,
,,,
850040486559494144,,,1
,,,
850009510915825664,,,35
,,,
849284249245151232,,,7536
850040409128677376,,,2
850023873756004353,,,16
850040354694889472,,,86
849986945367367680,,,424
849811353141485568,,,271
850023980220153856,,,1
849713462678876160,,,719
850028930883080193,,,29
,,,
,,,
850029074592522241,,,454
850035126633451522,,,22
,business,,
850039761360302082,,,3
,,,
,,,
849850157092950016,,,6
,,,
849758651002875904,,,151
850035842777305089,,,105
,,,
850027948031848448,,,2
850027132315160576,,,2
850012563161088000,,,107
,,,
850040410424492032,,,4
849592192721186816,,,2
,,,
849477664104747008,,,3
850040027530883073,,,3
,,,
,,,
,,,
,,,
850040417311653888,,,5
850040317638098948,,,1
,,,
,,,
849487931496689666,,,12010
849706096369553409,,,184
,,,
,,,
849947766981787648,Egypt,Egypt,1
849980424520519680,,,2182
849507251442286592,,,5
850006435857522688,,,2715
849976105520050176,,,153
849729786909872128,,,220
,,,
849995787958353924,,,1
850035553357713408,,,190
849948732929880064,,,1041
,,,
850035161018368002,,,2
,,,
,,,
,Trump,,
,,,
849653889012051968,,,64111
850030620927336449,,,51
850038099119931392,,,1
850039406534832128,,,1
849955480843632640,,,2645
,,,
850021085756219394,,,132
,,,
,,,
849759789177614336,,,2513
,,,
,,,
,,,
850031688759386113,,,77
849656628567838720,,,17
850040049244700672,,,62
849328139100721154,,,93
,,,
,,,
,,,
,resist,,
850038795147788288,,,4
850040354694889472,,,98
848271522091466755,,,277
,,,
,,,
850039613926277120,,,2
849855501118562304,,,7
,,,
850005582807535619,,,1
,,,
,,,
,,,
,,,
,,,
,,,
849334702024646658,,,9742
,,,
,,,
850040342896365568,,,12
,,,
,,,
849776450492170241,,,1
849471920206745604,,,37691
,,,
849707359043592192,,,590
,,,
,,,
,,,
850011893955788800,,,10
,,,
,,,
849700092256935936,,,769
849628969951416321,,,8
850040354694889472,,,93
,,,
,shortsighted,,
850000510384050179,,,138
850038518676152320,,,5
,,,
850031825837838338,,,129
850040003187154944,,,1
,,,
850006351703093249,,,59
850021170372128769,,,29
,,,
849656699464056832,Pepsi,Pepsi,136703
850039959151050752,,,23
850039925160464384,,,138
,,,
,,,
,,,
850032765764485120,,,1
,Iran,,
849930992219500544,,,1372
,,,
849982069862277121,,,249
850034727834853376,books,books,1
,,,
,,,
,,,
,,,
850032850674081793,,,5
,,,
848717405744492544,,,1916
850033251066490884,,,323
849962118858366976,,,614
831246422909542400,,,5329
850035856643563520,,,7
,,,
849796807521693696,,,292
,,,
,,,
,,,
,Connecticut,,
850030433198907393,,,82
850038813254725632,,,1
,,,
849949476278218752,,,85
848526747352145922,,,17
850035127514279938,,,1
849400826284167168,,,48415
,,,
849835642519420928,,,14243
849939235985514496,,,46
,,,
850039998254592001,,,1
849830324020359168,,,3
,,,
850030029014573057,,,9
,,,
,,,
849675176354529281,,,15317
,,,
,,,
,,,
849815235573821440,,,4823
,,,
848094954765373441,,,92
,,,
850030505017974786,,,1
,,,
850024581691826176,,,4
,,,
849949162028363776,,,1
849980902515941377,,,177
849980017450897408,,,1157
,,,
849835642519420928,,,14243
,,,
849597162786873344,,,489
,,,
,,,
,,,
,,,
,,,
844725153774944256,,,163918
849402355976110080,Pens,Pens,20
850003210152460288,,,126
,,,
,,,
,live,,
,,,
,,,
849961299073277952,,,248
850031277159960576,,,1
849789092275605504,,,2
,,,
850029373235146752,,,40
,,,
,,,
850040229960593408,,,8
849959911106764805,,,73
849669010790559744,,,2014
,,,
849602197419687936,,,2338
,,,
850001517046267906,,,83
850040354694889472,,,108
850039148492861441,,,2
849452153441853447,,,6736
,,,
850039098018582528,,,4
849863008868114432,,,632
,,,
,,,
849817538599034881,,,85
850036947934433281,,,273
850017895992229890,,,1
850040488950456322,,,1
850034123548839938,,,6
,,,
849907030114668544,,,12
850023815253901312,,,29
,,,
849992094408208386,,,328
,,,
849668424544530432,,,182
850039257137901568,,,1
,,,
,,,
,,,
,,,
,,,
850036981723693056,,,10
,vinyl,,
834616259681542144,,,521
832767904760291331,,,960
849675176354529281,,,15321
849984182222700544,,,148
849790309844172800,,,13
850033099954163713,,,209
850009724749619200,,,66
850029494425366530,,,364
,,,
850027124744388611,,,4
,,,
850036024906403840,,,128
850032178528387072,,,66
849992264973787136,,,20
,,,
849991688701583360,,,787
849633388751450112,,,5696
849930046236119040,,,4755
849930046236119040,,,4756
,,,
849675735233159168,,,2261
,,,
849617333052211203,,,122357
850020335403491329,,,8078
849939873054298113,,,402
,,,
849957381828227073,,,28
,,,
849792733191557120,,,9
850009269722370048,,,87
,,,
849346766994624513,,,179
,,,
850040417311653888,,,18
849704507630010369,,,870
,,,
850003145564532737,,,753
,,,
,,,
850020304189624321,,,14
850040417311653888,,,20
,,,
849821439578472448,,,13950
,,,
850040446894166017,,,1
,,,
,,,
,,,
849487931496689666,,,12011
849341899647438848,,,38063
850023010643869697,free,free,3
850021830421303298,,,305
,,,
850011906526003200,,,65
849874784443826176,,,678
,,,
,,,
850015269242195968,,,21
850028915557113858,,,964
849920906478710784,Microsoft,Microsoft,178
850019035978678272,,,398
849681921042927617,,,50359
849617333052211203,,,122358
849860544857350144,,,3
849620509050458112,Mali,Mali,18
,,,
849958735007154177,,,945
,,,
,,,
850040459930021893,,,1
849792328944427008,,,14598
850039122928570369,,,8
849835642519420928,,,14246
,giveaway,,
,,,
849933513151393792,roaming,roaming,77
849841921522507777,,,82
848293916751405059,,,772
,,,
849308840499838977,,,552
,,,
850039667256905730,,,59
850038418172108800,,,1
,cock,,
850030373035622401,,,88
,,,
850038742089740288,,,5
850040417311653888,,,21
850033333631365120,,,2
850040017225474049,,,8
850030494834151424,,,3
849773234191052800,,,4
850033135525953537,,,347
850037955066507267,,,31
850016779212644352,,,9
850040049244700672,,,73
,Canada,,
850037280463097857,,,25
,,,
,,,
,,,
,,,
849978138209681408,,,1
850036808100532224,,,1
,,,
,,,
849387384525475840,BMW,BMW,30
850039257234235392,,,1
,,,
850036107022655489,,,7
,,,
849807746769850368,,,2
850029074592522241,,,457
,,,
847909362731540480,,,1
843360622964170752,,,32
850039406035705857,,,2
,,,
848571860014989312,,,1
850035553357713408,,,191
850040489827065865,,,2
,,,
850040240668631047,,,1
,,,
850027603339751424,,,382
,,,
850036382353502210,,,30
,,,
850034737947258881,,,39
,,,
849966369437122560,,,16
,,,
850030349619015680,,,116
,,,
849920735653056513,,,3
,,,
849302705734549505,,,896
850013946975105024,,,432
850029634146123776,MAYHEM,MAYHEM,104
850035364479873025,,,18
,,,
,,,
850039410062090244,,,1
850039810089766912,,,2
850008368479584257,,,14
849684926236700673,,,15
,,,
,,,
850039940729753601,,,1
,,,
,,,
850016465109610500,,,1152
850040342896365568,,,15
,,,
,,,
850027288754126849,,,243
,,,
849295658498621441,,,727
850016543048073216,,,12
,,,
,USA,,
,,,
,,,
,,,
849154981785743361,,,187
850037744256507904,,,114
849944869732728832,,,16
849732780766441473,,,23242
850024632887513089,,,239
849839498917814272,,,11
247381724760264704,,,131192
850039725159264257,,,1
850020291686346752,,,260
850040433069752324,,,13
,,,
850037744256507904,,,114
,,,
849988330993442817,,,973
,,,
,,,
848840580926853120,,,30321
,,,
,,,
,,,
,,,
,,,
,,,
850018879908786176,,,34
850017495431782401,Bernie,Bernie,10
850004089446576128,,,26
849943614142763008,,,7
,,,
,,,
850007609738502144,,,2
,,,
850037544637128704,,,1
850031729909927936,,,41
850027603339751424,,,383
850010822873055233,,,1
850036900454944769,,,1
849826754202144768,,,11483
,,,
,,,
,,,
,RI,,
850040068706377730,,,20
850025104180490241,,,158
850038974844416000,,,45
842982661991862273,,,6807
849146188804829185,,,3
,,,
850040354694889472,,,123
849994459957923841,,,453
,,,
850033463944237056,,,17
,,,
833684878944268289,,,12716
,,,
849691807239741441,,,4
,,,
850019384047263744,Resistance,Resistance,4
850040111303507968,,,6
,,,
,,,
850034133560676352,,,90
,,,
,,,
850032777600880641,,,44
,,,
842843150758658049,,,552
,,,
849750605505712128,,,2
,,,
849990366212358144,,,3270
,,,
,,,
830118963409481729,,,81
,,,
,Fed,,
,,,
,,,
849788602229903360,,,1
849390328595566594,,,4889
849665455556001792,,,1770
849620096544686080,,,228
,,,
850039910392365058,,,3
,,,
850034680967639040,,,2
850011112829595648,,,44
850033316250214400,,,42
849644498389004290,,,8189
,,,
849964970787971072,,,2016
848580417196138497,,,21560
849671186254618626,,,35572
850037572894052352,,,111
,,,
850013650299572224,,,6
850034284270280704,Angels,Angels,32
,,,
850025528732135424,,,732
,,,
,,,
,,,
,,,
849617333052211203,,,122364
,,,
,,,
849992844286853121,,,180
850020708256108545,,,509
849833966555320321,,,4
850034014660558848,,,23
849997072644354049,,,666
829458637298995200,,,4213
,,,
,,,
,,,
,,,
849826754202144768,,,11485
,,,
849996373474910208,,,3390
849750606906568704,,,2
849653889012051968,,,64120
849725628383461376,,,85
,,,
,,,
,,,
849835642519420928,,,14248
,,,
,,,
849738115707285506,,,164
,,,
849886473813843969,,,66
850038313964711938,,,4
,,,
848424440354529280,,,3040
832047257310621696,,,68
848378989450149889,,,1362
,,,
384959846371438592,,,8231
,,,
849821134795284480,,,103
,,,
850027887327666176,,,159
850028946691411968,,,2
,,,
850032050925121536,,,4
,Errands,,
850016698031906816,,,5
,,,
849994556187619328,,,32
849683081195773952,,,1
849987475485462528,,,8
,,,
,,,
850017276321562627,,,489
,,,
850037049969319937,,,19
,,,
849994990428327937,Periscope,Periscope,46
849857798129164288,,,2753
850014796988723200,clouds,clouds,5
,,,
,,,
850039906260922368,,,2
,,,
850002191591112704,,,1352
,,,
849814105586368512,,,805
849758830351273984,,,518
